product_id,name,category,price,short_description,specs_json
P1001,Keyboard Model 1001,Keyboard,119760.55,High quality keyboard suitable for work and entertainment.,"{'type': 'Membrane', 'backlight': 'White LED'}"
P1002,Headset Model 1002,Headset,37062.5,High quality headset suitable for work and entertainment.,"{'type': 'Over-ear', 'mic': 'Yes', 'connectivity': 'Wireless', 'surround': 'Stereo'}"
P1003,Motherboard Model 1003,Motherboard,10685.6,High quality motherboard suitable for work and entertainment.,"{'chipset': 'X570', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1004,Mouse Model 1004,Mouse,34038.52,High quality mouse suitable for work and entertainment.,"{'dpi': '16000', 'buttons': '6', 'type': 'Wired'}"
P1005,Graphics Card Model 1005,Graphics Card,85177.07,High quality graphics card suitable for work and entertainment.,"{'gpu': 'NVIDIA RTX 4070', 'vram': '12GB GDDR6X'}"
P1006,Desktop Model 1006,Desktop,29448.82,High quality desktop suitable for work and entertainment.,"{'processor': 'Intel i9 12th Gen', 'ram': '32GB', 'storage': '2TB SSD', 'gpu': 'NVIDIA RTX 4080'}"
P1007,Motherboard Model 1007,Motherboard,34149.52,High quality motherboard suitable for work and entertainment.,"{'chipset': 'X570', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1008,Mouse Model 1008,Mouse,42097.24,High quality mouse suitable for work and entertainment.,"{'dpi': '8000', 'buttons': '7', 'type': 'Wireless'}"
P1009,External HDD Model 1009,External HDD,62905.81,High quality external hdd suitable for work and entertainment.,"{'capacity': '1TB', 'interface': 'USB 3.0'}"
P1010,Headset Model 1010,Headset,45874.03,High quality headset suitable for work and entertainment.,"{'type': 'Over-ear', 'mic': 'Yes', 'connectivity': 'Wired', 'surround': '7.1'}"
P1011,Laptop Model 1011,Laptop,62601.69,High quality laptop suitable for work and entertainment.,"{'processor': 'Intel i7 13th Gen', 'ram': '32GB', 'storage': '1TB SSD', 'gpu': 'NVIDIA RTX 4070'}"
P1012,Motherboard Model 1012,Motherboard,71062.7,High quality motherboard suitable for work and entertainment.,"{'chipset': 'X570', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1013,Monitor Model 1013,Monitor,57551.27,High quality monitor suitable for work and entertainment.,"{'size': '27 inch', 'resolution': '2560x1440', 'refresh_rate': '144Hz', 'panel': 'IPS'}"
P1014,Motherboard Model 1014,Motherboard,69268.21,High quality motherboard suitable for work and entertainment.,"{'chipset': 'X570', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1015,Keyboard Model 1015,Keyboard,9329.69,High quality keyboard suitable for work and entertainment.,"{'type': 'Mechanical', 'switch': 'Red', 'backlight': 'RGB'}"
P1016,Graphics Card Model 1016,Graphics Card,4014.34,High quality graphics card suitable for work and entertainment.,"{'gpu': 'AMD RX 6800', 'vram': '16GB GDDR6'}"
P1017,SSD Model 1017,SSD,3818.22,High quality ssd suitable for work and entertainment.,"{'capacity': '1TB', 'interface': 'SATA'}"
P1018,Laptop Model 1018,Laptop,57411.9,High quality laptop suitable for work and entertainment.,"{'processor': 'Intel i7 13th Gen', 'ram': '32GB', 'storage': '1TB SSD', 'gpu': 'NVIDIA RTX 4070'}"
P1019,Motherboard Model 1019,Motherboard,39530.46,High quality motherboard suitable for work and entertainment.,"{'chipset': 'X570', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1020,Motherboard Model 1020,Motherboard,110336.27,High quality motherboard suitable for work and entertainment.,"{'chipset': 'B550', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1021,SSD Model 1021,SSD,6422.55,High quality ssd suitable for work and entertainment.,"{'capacity': '500GB', 'interface': 'NVMe'}"
P1022,Desktop Model 1022,Desktop,65053.56,High quality desktop suitable for work and entertainment.,"{'processor': 'AMD Ryzen 5 5600G', 'ram': '16GB', 'storage': '512GB SSD', 'gpu': 'Radeon Vega'}"
P1023,External HDD Model 1023,External HDD,115121.19,High quality external hdd suitable for work and entertainment.,"{'capacity': '4TB', 'interface': 'USB-C'}"
P1024,Motherboard Model 1024,Motherboard,4174.6,High quality motherboard suitable for work and entertainment.,"{'chipset': 'B550', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1025,Motherboard Model 1025,Motherboard,14755.83,High quality motherboard suitable for work and entertainment.,"{'chipset': 'X570', 'socket': 'AM4', 'form_factor': 'ATX'}"
P1026,Monitor Model 1026,Monitor,14424.09,High quality monitor suitable for work and entertainment.,"{'size': '24 inch', 'resolution': '1920x1080', 'refresh_rate': '75Hz', 'panel': 'IPS'}"
P1027,Desktop Model 1027,Desktop,40461.49,High quality desktop suitable for work and entertainment.,"{'processor': 'AMD Ryzen 5 5600G', 'ram': '16GB', 'storage': '512GB SSD', 'gpu': 'Radeon Vega'}"
P1028,Monitor Model 1028,Monitor,75833.48,High quality monitor suitable for work and entertainment.,"{'size': '34 inch', 'resolution': '3440x1440', 'refresh_rate': '165Hz', 'panel': 'VA'}"
P1029,Laptop Model 1029,Laptop,38726.85,High quality laptop suitable for work and entertainment.,"{'processor': 'AMD Ryzen 7 5800H', 'ram': '16GB', 'storage': '1TB SSD', 'gpu': 'NVIDIA RTX 3060'}"
P1030,Monitor Model 1030,Monitor,66248.96,High quality monitor suitable for work and entertainment.,"{'size': '24 inch', 'resolution': '1920x1080', 'refresh_rate': '75Hz', 'panel': 'IPS'}"
P1031,Graphics Card Model 1031,Graphics Card,20087.11,High quality graphics card suitable for work and entertainment.,"{'gpu': 'NVIDIA RTX 4070', 'vram': '12GB GDDR6X'}"
P1032,Keyboard Model 1032,Keyboard,50340.2,High quality keyboard suitable for work and entertainment.,"{'type': 'Membrane', 'backlight': 'White LED'}"
P1033,Laptop Model 1033,Laptop,51944.72,High quality laptop suitable for work and entertainment.,"{'processor': 'Intel i5 12th Gen', 'ram': '16GB', 'storage': '512GB SSD', 'display': '15.6 inch FHD'}"
P1034,Graphics Card Model 1034,Graphics Card,4772.1,High quality graphics card suitable for work and entertainment.,"{'gpu': 'AMD RX 6800', 'vram': '16GB GDDR6'}"
P1035,Keyboard Model 1035,Keyboard,98251.22,High quality keyboard suitable for work and entertainment.,"{'type': 'Mechanical', 'switch': 'Blue', 'backlight': 'RGB'}"
P1036,Keyboard Model 1036,Keyboard,96967.84,High quality keyboard suitable for work and entertainment.,"{'type': 'Mechanical', 'switch': 'Red', 'backlight': 'RGB'}"
P1037,Mouse Model 1037,Mouse,117251.74,High quality mouse suitable for work and entertainment.,"{'dpi': '16000', 'buttons': '6', 'type': 'Wired'}"
P1038,Graphics Card Model 1038,Graphics Card,106808.68,High quality graphics card suitable for work and entertainment.,"{'gpu': 'NVIDIA RTX 3060', 'vram': '12GB GDDR6'}"
P1039,Headset Model 1039,Headset,114970.58,High quality headset suitable for work and entertainment.,"{'type': 'Over-ear', 'mic': 'Yes', 'connectivity': 'Wireless', 'surround': 'Stereo'}"
P1040,Mouse Model 1040,Mouse,15696.02,High quality mouse suitable for work and entertainment.,"{'dpi': '16000', 'buttons': '6', 'type': 'Wired'}"
P1041,Monitor Model 1041,Monitor,88402.51,High quality monitor suitable for work and entertainment.,"{'size': '24 inch', 'resolution': '1920x1080', 'refresh_rate': '75Hz', 'panel': 'IPS'}"
P1042,External HDD Model 1042,External HDD,103080.98,High quality external hdd suitable for work and entertainment.,"{'capacity': '4TB', 'interface': 'USB-C'}"
P1043,Headset Model 1043,Headset,29374.06,High quality headset suitable for work and entertainment.,"{'type': 'In-ear', 'mic': 'Yes', 'connectivity': 'Wired', 'surround': 'Stereo'}"
P1044,Motherboard Model 1044,Motherboard,31293.65,High quality motherboard suitable for work and entertainment.,"{'chipset': 'B550', 'socket': 'AM4', 'form_factor': 'ATX'}"
